pcbasn,voldc,volpoe,login,bspver,irver,sensever,ir,rs485,sense,rs232,relay,audio,usb2.0,usb3.0,wifipower,iperfeth,ethmac,wifimac,SNID,LED,HDMI,reset,power
30398X989210900428,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05552,P,P,-16.28,152.0,F8-57-2E-06-10-AB,CC-4B-73-F4-C3-AE,EL01491A-89210900428,P,P,P,P
30398X989210900378,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05503,P,P,-16.18,167.0,F8-57-2E-06-10-AC,CC-4B-73-F4-B3-88,EL01491A-89210900378,P,P,P,P
30398X989210900197,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05669,P,P,-16.42,158.0,F8-57-2E-06-10-AD,CC-4B-73-F4-A3-E0,EL01491A-89210900197,P,P,P,P
30398X989210900644,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06091,P,P,-17.39,158.0,F8-57-2E-06-10-AE,CC-4B-73-F4-D4-58,EL01491A-89210900644,P,P,P,P
30398X989210900269,P,P,P,20210217.150252,03-00-00-03,00-00-00-0f,P,P,P,P,P,0.0557,P,P,-15.04,168.0,F8-57-2E-06-10-AF,CC-4B-73-F4-C4-46,EL01491A-89210900269,P,P,P,P
30398X989210900366,P,P,P,20210217.150252,03-00-00-03,00-00-00-0f,P,P,P,P,P,0.06028,P,P,-16.51,153.0,F8-57-2E-06-10-B0,CC-4B-73-F4-C3-68,EL01491A-89210900366,P,P,P,P
30398X989210900195,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05647,P,P,-16.84,153.0,F8-57-2E-06-10-B1,CC-4B-73-F4-A3-6A,EL01491A-89210900195,P,P,P,P
30398X989210900189,P,P,P,20210217.150252,03-00-00-03,False,P,P,P,P,P,0.05732,P,P,-16.86,166.0,F8-57-2E-06-10-B2,CC-4B-73-F4-C4-48,EL01491A-89210900189,P,P,P,P
30398X989210900066,P,P,P,20210217.150252,03-00-00-03,00-00-00-0f,P,P,P,P,P,0.22081,P,P,-15.3,154.0,F8-57-2E-06-10-B3,CC-4B-73-F4-A3-3E,EL01491A-89210900066,P,P,P,P
30398X989210900057,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05884,P,P,-16.42,153.0,F8-57-2E-06-10-B4,CC-4B-73-F4-93-C0,EL01491A-89210900057,P,P,P,P
30398X989210900436,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06469,P,P,-16.89,153.0,F8-57-2E-06-10-B5,CC-4B-73-F3-DD-0A,EL01491A-89210900436,P,P,P,P
30398X989210900188,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05884,P,P,-16.32,153.0,F8-57-2E-06-10-B6,CC-4B-73-F4-B3-74,EL01491A-89210900188,P,P,P,P
30398X989210900038,P,P,P,20210217.150252,03-00-00-03,"2,buf:00-0f",P,P,P,P,P,0.06495,P,P,-17.35,144.0,F8-57-2E-06-10-B7,CC-4B-73-F4-84-A6,EL01491A-89210900038,P,P,P,P
30398X989210900593,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06028,P,P,-17.35,151.0,F8-57-2E-06-10-B8,CC-4B-73-F4-E3-E8,EL01491A-89210900593,P,P,P,P
30398X989210900591,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06469,P,P,-14.83,167.0,F8-57-2E-06-10-B9,CC-4B-73-F4-E3-DA,EL01491A-89210900591,P,P,P,P
30398X989210900051,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05582,P,P,-16.6,157.0,F8-57-2E-06-10-BA,CC-4B-73-F4-93-26,EL01491A-89210900051,P,P,P,P
30398X989210900607,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06004,P,P,-15.38,168.0,F8-57-2E-06-10-BB,CC-4B-73-F3-CD-48,EL01491A-89210900607,P,P,P,P
30398X989210900552,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05959,P,P,-16.08,167.0,F8-57-2E-06-10-BC,CC-4B-73-F4-E3-B4,EL01491A-89210900552,P,P,P,P
30398X989210900307,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06519,P,P,-15.45,155.0,F8-57-2E-06-10-BD,CC-4B-73-F4-A3-38,EL01491A-89210900307,P,P,P,P
30398X989210900537,P,P,P,20210217.150252,03-00-00-03,00-00-00-0f,P,P,P,P,P,0.05724,P,P,-17.41,157.0,F8-57-2E-06-10-BE,CC-4B-73-F3-CD-16,EL01491A-89210900537,P,P,P,P
30398X989210900577,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.059,P,P,-15.6,155.0,F8-57-2E-06-10-BF,CC-4B-73-F4-E3-DE,EL01491A-89210900577,P,P,P,P
30398X989210900481,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05617,P,P,-16.4,142.0,F8-57-2E-06-10-C0,CC-4B-73-F4-C3-90,EL01491A-89210900481,P,P,P,P
30398X989210900434,P,P,P,20210217.150252,03-00-00-03,00-00-00-0f,P,P,P,P,P,0.06976,P,P,-17.53,153.0,F8-57-2E-06-10-C1,CC-4B-73-F3-CD-8E,EL01491A-89210900434,P,P,P,P
30398X989210900649,P,P,P,20210217.150252,03-00-00-03,False,P,P,P,P,P,0.0598,P,P,-15.68,168.0,F8-57-2E-06-10-C2,CC-4B-73-F4-B3-56,EL01491A-89210900649,P,P,P,P
30398X989210900695,P,P,P,20210217.150252,03-00-00-03,False,P,P,P,P,P,0.05813,P,P,-16.99,155.0,F8-57-2E-06-10-C3,CC-4B-73-F4-D4-10,EL01491A-89210900695,P,P,P,P
30398X989210900472,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06099,P,P,-15.69,163.0,F8-57-2E-06-10-C4,CC-4B-73-F4-C4-0E,EL01491A-89210900472,P,P,P,P
30398X989210900480,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05674,P,P,-15.45,127.0,F8-57-2E-06-10-C5,CC-4B-73-F4-C3-6E,EL01491A-89210900480,P,P,P,P
30398X989210900483,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05991,P,P,-16.55,165.0,F8-57-2E-06-10-C6,CC-4B-73-F4-C3-5C,EL01491A-89210900483,P,P,P,P
30398X989210900692,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06009,P,P,-16.21,140.0,F8-57-2E-06-10-C7,CC-4B-73-F3-CD-14,EL01491A-89210900692,P,P,P,P
30398X989210900567,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05833,P,P,-16.42,166.0,F8-57-2E-06-10-C8,CC-4B-73-F4-E3-F2,EL01491A-89210900567,P,P,P,P
30398X989210900589,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06412,P,P,-17.44,146.0,F8-57-2E-06-10-C9,CC-4B-73-F4-D3-F8,EL01491A-89210900589,P,P,P,P
30398X989210900598,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06033,P,P,-15.46,161.0,F8-57-2E-06-10-CA,CC-4B-73-F4-E4-04,EL01491A-89210900598,P,P,P,P
30398X989210900446,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06496,P,P,-16.2,154.0,F8-57-2E-06-10-CB,CC-4B-73-F4-E3-B8,EL01491A-89210900446,P,P,P,P
30398X989210900528,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05822,P,P,-15.27,163.0,F8-57-2E-06-10-CC,CC-4B-73-F4-B4-30,EL01491A-89210900528,P,P,P,P
30398X989210900491,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05984,P,P,-16.46,153.0,F8-57-2E-06-10-CD,CC-4B-73-F4-D4-2A,EL01491A-89210900491,P,P,P,P
30398X989210900498,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.04834,P,P,-16.0,163.0,F8-57-2E-06-10-CE,CC-4B-73-F3-CD-58,EL01491A-89210900498,P,P,P,P
30398X989210900454,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05439,P,P,-16.68,116.0,F8-57-2E-06-10-CF,CC-4B-73-F4-E3-C4,EL01491A-89210900454,P,P,P,P
30398X989210900659,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05734,P,P,-19.1,159.0,F8-57-2E-06-10-D0,CC-4B-73-F4-D4-46,EL01491A-89210900659,P,P,P,P
30398X989210900565,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06347,P,P,-17.66,165.0,F8-57-2E-06-10-D1,CC-4B-73-F4-C3-66,EL01491A-89210900565,P,P,P,P
30398X989210900551,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05296,P,P,-16.84,151.0,F8-57-2E-06-10-D2,CC-4B-73-F4-E3-CE,EL01491A-89210900551,P,P,P,P
30398X989210900672,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06356,P,P,-16.41,154.0,F8-57-2E-06-10-D3,CC-4B-73-F4-B4-1E,EL01491A-89210900672,P,P,P,P
30398X989210900667,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05746,P,P,-16.2,157.0,F8-57-2E-06-10-D4,CC-4B-73-F4-D4-4A,EL01491A-89210900667,P,P,P,P
30398X989210900488,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05324,P,P,-17.05,158.0,F8-57-2E-06-10-D5,CC-4B-73-F3-CD-1C,EL01491A-89210900488,P,P,P,P
30398X989210900493,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05972,P,P,-17.17,157.0,F8-57-2E-06-10-D6,CC-4B-73-F4-E4-14,EL01491A-89210900493,P,P,P,P
30398X989210900691,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.0561,P,P,-15.5,172.0,F8-57-2E-06-10-D7,CC-4B-73-F4-D3-EE,EL01491A-89210900691,P,P,P,P
30398X989210900694,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05617,P,P,-16.43,156.0,F8-57-2E-06-10-D8,CC-4B-73-F4-D4-04,EL01491A-89210900694,P,P,P,P
30398X989210900525,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06019,P,P,-17.03,155.0,F8-57-2E-06-10-D9,CC-4B-73-F3-CD-3C,EL01491A-89210900525,P,P,P,P
30398X989210900601,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06049,P,P,-16.95,153.0,F8-57-2E-06-10-DA,CC-4B-73-F4-E4-1E,EL01491A-89210900601,P,P,P,P
30398X989210900594,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06363,P,P,-15.53,144.0,F8-57-2E-06-10-DB,CC-4B-73-F4-E4-06,EL01491A-89210900594,P,P,P,P
30398X989210900160,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05795,P,P,-16.7,169.0,F8-57-2E-06-10-DC,CC-4B-73-F4-84-A4,EL01491A-89210900160,P,P,P,P
30398X989210900500,P,P,P,20210217.150252,03-00-00-03,00-00-00-0f,P,P,P,P,P,0.0613,P,P,-16.86,153.0,F8-57-2E-06-10-DD,CC-4B-73-F4-B4-16,EL01491A-89210900500,P,P,P,P
30398X989210900533,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05991,P,P,-15.54,141.0,F8-57-2E-06-10-DE,CC-4B-73-F3-CD-22,EL01491A-89210900533,P,P,P,P
30398X989210900530,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06398,P,P,-17.31,167.0,F8-57-2E-06-10-DF,CC-4B-73-F3-CD-76,EL01491A-89210900530,P,P,P,P
30398X989210900540,P,P,P,20210217.150252,03-00-00-03,00-00-00-0f,P,P,P,P,P,0.05759,P,P,-17.3,156.0,F8-57-2E-06-10-E0,CC-4B-73-F4-B4-2A,EL01491A-89210900540,P,P,P,P
30398X989210900059,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05223,P,P,-16.33,151.0,F8-57-2E-06-10-E1,CC-4B-73-F4-93-9A,EL01491A-89210900059,P,P,P,P
30398X989210900686,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.04976,P,P,-15.68,153.0,F8-57-2E-06-10-E2,CC-4B-73-F4-D4-0A,EL01491A-89210900686,P,P,P,P
30398X989210900349,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05334,P,P,-15.56,146.0,F8-57-2E-06-10-E3,CC-4B-73-F4-A3-98,EL01491A-89210900349,P,P,P,P
30398X989210900469,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06087,P,P,-15.07,171.0,F8-57-2E-06-10-E4,CC-4B-73-F4-C3-B8,EL01491A-89210900469,P,P,P,P
30398X989210900458,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.0551,P,P,-16.21,146.0,F8-57-2E-06-10-E5,CC-4B-73-F4-84-B8,EL01491A-89210900458,P,P,P,P
30398X989210900054,P,P,P,20210217.150252,03-00-00-03,00-00-00-0f,P,P,P,P,P,0.05905,P,P,-15.65,155.0,F8-57-2E-06-10-E6,CC-4B-73-F4-93-12,EL01491A-89210900054,P,P,P,P
30398X989210900699,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06051,P,P,-15.23,167.0,F8-57-2E-06-10-E7,CC-4B-73-F3-CD-12,EL01491A-89210900699,P,P,P,P
30398X989210900661,P,P,P,20210217.150252,03-00-00-03,False,P,P,P,P,P,0.05572,P,P,-16.53,155.0,F8-57-2E-06-10-E8,CC-4B-73-F4-D4-52,EL01491A-89210900661,P,P,P,P
30398X989210900697,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05762,P,P,-15.25,155.0,F8-57-2E-06-10-E9,CC-4B-73-F4-D4-1E,EL01491A-89210900697,P,P,P,P
30398X989210900681,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05615,P,P,-15.86,153.0,F8-57-2E-06-10-EA,CC-4B-73-F4-D3-E4,EL01491A-89210900681,P,P,P,P
30398X989210900531,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05748,P,P,-17.13,136.0,F8-57-2E-06-10-EB,CC-4B-73-F4-A3-3C,EL01491A-89210900531,P,P,P,P
30398X989210900561,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05945,P,P,-16.2,150.0,F8-57-2E-06-10-EC,CC-4B-73-F4-A3-5A,EL01491A-89210900561,P,P,P,P
